ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice,SupplierName,LaunchDate,Status,CountryOfOrigin
P001,Mobile Pro 1,Electronics,Mobile,Brand1,58.75,41.12,Supplier1,2024-01-01,Active,USA
P002,Laptop Pro 2,Electronics,Laptop,Brand2,67.5,47.25,Supplier2,2024-02-02,Active,China
P003,Desktop Pro 3,Computers,Desktop,Brand3,76.25,53.38,Supplier3,2024-03-03,Active,India
P004,Mouse Pro 4,Accessories,Mouse,Brand4,85,59.5,Supplier4,2024-04-04,Active,Japan
P005,Keyboard Pro 5,Accessories,Keyboard,Brand5,93.75,65.62,Supplier5,2024-05-05,Active,South Korea
P006,Console Pro 6,Gaming,Console,Brand6,102.5,71.75,Supplier6,2024-06-06,Active,Germany
P007,Headphones Pro 7,Audio Devices,Headphones,Brand7,111.25,77.88,Supplier7,2024-07-07,Active,USA
P008,SSD Pro 8,Storage Devices,SSD,Brand8,120,84,Supplier8,2024-08-08,Active,China
P009,Router Pro 9,Networking,Router,Brand9,128.75,90.12,Supplier9,2024-09-09,Active,India
P010,Smart Home Pro 10,Home Appliances,Smart Home,Brand10,137.5,96.25,Supplier10,2024-10-10,Discontinued,Japan
P011,Mobile Pro 11,Electronics,Mobile,Brand11,146.25,102.38,Supplier11,2024-11-11,Active,South Korea
P012,Laptop Pro 12,Electronics,Laptop,Brand12,155,108.5,Supplier12,2024-12-12,Active,Germany
P013,Desktop Pro 13,Computers,Desktop,Brand13,163.75,114.62,Supplier13,2024-01-13,Active,USA
P014,Mouse Pro 14,Accessories,Mouse,Brand14,172.5,120.75,Supplier14,2024-02-14,Active,China
P015,Keyboard Pro 15,Accessories,Keyboard,Brand15,181.25,126.87,Supplier15,2024-03-15,Active,India
P016,Console Pro 16,Gaming,Console,Brand1,190,133,Supplier16,2024-04-16,Active,Japan
P017,Headphones Pro 17,Audio Devices,Headphones,Brand2,198.75,139.12,Supplier17,2024-05-17,Active,South Korea
P018,SSD Pro 18,Storage Devices,SSD,Brand3,207.5,145.25,Supplier18,2024-06-18,Active,Germany
P019,Router Pro 19,Networking,Router,Brand4,216.25,151.38,Supplier19,2024-07-19,Active,USA
